listing_id,date
17891,2010-04-23
17891,2010-06-24
17891,2010-08-09
17891,2010-09-09
17891,2010-09-29
17891,2010-10-28
17891,2010-11-27
17891,2010-12-25
17891,2011-01-13
17891,2011-01-26
17891,2011-02-13
17891,2011-02-23
17891,2011-03-01
17891,2011-04-09
17891,2011-04-15
17891,2011-04-19
17891,2011-05-02
17891,2011-05-08
17891,2011-05-14
17891,2011-05-28
17891,2011-06-02
17891,2011-06-07
17891,2011-08-01
17891,2011-08-16
17891,2011-08-24
17891,2011-09-18
17891,2011-10-09
17891,2011-11-06
17891,2011-12-03
17891,2012-01-03
17891,2012-03-07
17891,2012-03-21
17891,2012-05-02
17891,2012-05-23
17891,2012-07-04
17891,2012-07-19
17891,2012-09-26
17891,2012-10-27
17891,2012-10-31
17891,2013-03-08
17891,2013-07-14
17891,2013-08-31
17891,2013-09-22
17891,2013-10-21
17891,2013-10-29
17891,2013-11-11
17891,2014-01-03
17891,2014-01-08
17891,2014-03-25
17891,2014-03-29
17891,2014-07-07
17891,2014-09-05
17891,2014-09-28
17891,2014-11-04
17891,2014-12-28
17891,2015-01-03
17891,2015-06-07
17891,2015-09-22
17891,2015-09-28
17891,2015-12-10
17891,2016-01-02
17891,2016-01-09
17891,2016-01-11
17891,2016-02-22
17891,2016-02-27
17891,2016-03-01
17891,2016-03-10
17891,2016-09-19
17891,2016-10-06
17891,2016-10-26
17891,2016-12-16
17891,2017-10-28
17891,2017-11-29
72571,2011-02-26
72571,2011-03-06
72571,2011-03-22
72571,2011-03-28
72571,2011-04-10
72571,2011-04-14
72571,2011-04-18
72571,2011-05-01
72571,2011-06-08
72571,2011-06-23
72571,2011-06-30
72571,2011-07-04
72571,2011-07-13
72571,2011-07-25
72571,2011-08-17
72571,2011-08-25
72571,2011-09-12
72571,2011-09-20
72571,2011-10-01
72571,2011-11-01
72571,2011-11-07
72571,2011-11-13
72571,2011-11-22
72571,2011-12-05
72571,2011-12-10
72571,2011-12-14
72571,2011-12-19
72571,2011-12-23
72571,2012-01-15
72571,2012-01-17
72571,2012-02-21
72571,2012-02-28
72571,2012-03-06
72571,2012-03-13
72571,2012-03-15
72571,2012-03-21
72571,2012-03-26
72571,2012-04-04
72571,2012-05-04
72571,2012-05-08
72571,2012-09-17
72571,2012-09-22
72571,2012-10-03
72571,2012-10-09
72571,2012-11-02
72571,2012-11-13
72571,2012-11-30
72571,2012-12-05
72571,2012-12-09
72571,2012-12-29
72571,2013-01-15
72571,2013-02-15
72571,2013-04-01
72571,2013-04-21
72571,2013-07-05
72571,2013-07-09
72571,2013-07-22
72571,2013-07-29
72571,2013-08-04
72571,2013-08-12
72571,2013-08-23
72571,2013-08-26
72571,2013-09-09
72571,2013-09-11
72571,2013-10-01
72571,2013-10-11
72571,2013-10-20
72571,2013-10-26
72571,2013-11-01
72571,2013-11-05
72571,2013-11-18
72571,2013-11-23
72571,2013-12-01
72571,2013-12-07
72571,2013-12-30
72571,2014-01-19
72571,2014-01-23
72571,2014-02-22
72571,2014-03-11
72571,2014-03-23
72571,2014-03-29
72571,2014-04-03
72571,2014-04-07
72571,2014-04-17
72571,2014-06-10
72571,2014-06-16
72571,2014-08-16
72571,2014-08-26
72571,2014-09-01
72571,2014-09-16
72571,2014-09-22
